observe,"quan sát, sát sao",,"Technological advances, communication and the media"
observation,sự quan sát,,"Technological advances, communication and the media"
management,sự quản lý,,"Technological advances, communication and the media"
achieve,đạt được,,"Technological advances, communication and the media"
securely,(một cách) chắc chắn,,"Technological advances, communication and the media"
calculate,tính toán,,"Technological advances, communication and the media"
calculation,sự tính toán,,"Technological advances, communication and the media"
develop,phát triển,,"Technological advances, communication and the media"
phrasal verb,,,"Technological advances, communication and the media"
build up,xây dựng,,"Technological advances, communication and the media"
find out,"tìm ra, khám phá ra",discover,"Technological advances, communication and the media"
work on,đang trong tiến trình,,"Technological advances, communication and the media"
work out,"giải quyết, tìm ra giải pháp",resolve,"Technological advances, communication and the media"
carry out,tiến hành,,"Technological advances, communication and the media"
come up with,"nghĩ ra, nảy ra (một ý tưởng)",think of,"Technological advances, communication and the media"
plug in,cắm vào (ổ điện),,"Technological advances, communication and the media"
turn off,tắt nguồn,,"Technological advances, communication and the media"
come off,"thành công, có hiệu quả",succeed,"Technological advances, communication and the media"
look forward to,mong chờ,,"Technological advances, communication and the media"
catch up with,nói chuyện lại sau một thời gian dài,,"Technological advances, communication and the media"
get up to date,cập nhật (thông tin mới),,"Technological advances, communication and the media"
phrasal,,,"Technological advances, communication and the media"
in fact,trên thực tế,,"Technological advances, communication and the media"
on average,trung bình,,"Technological advances, communication and the media"
as a result,như một hệ quả,,"Technological advances, communication and the media"
all in all,"tóm lại, nhìn chung",,"Technological advances, communication and the media"
succeed in,thành công (trong việc gì),,"Technological advances, communication and the media"
look at,nhìn vào,,"Technological advances, communication and the media"
focus on,tập trung vào,,"Technological advances, communication and the media"
concentrate on,tập trung vào,,"Technological advances, communication and the media"
in an attempt,dùng mọi nỗ lực,,"Technological advances, communication and the media"
a result of,là một hệ quả của,,"Technological advances, communication and the media"
a matter of fact,một vấn đề thực tế,,"Technological advances, communication and the media"
explain sth to sb,giải thích điều gì với ai,,"Technological advances, communication and the media"
be on the internet,trên mạng internet,,"Technological advances, communication and the media"
keep in touch,giữ liên lạc,,"Technological advances, communication and the media"
be reluctant to,miễn cưỡng làm gì,,"Technological advances, communication and the media"
idioms,,,"Technological advances, communication and the media"
surf the net,lướt mạng,,"Technological advances, communication and the media"
blow a fuse,nổi giận,get angry,"Technological advances, communication and the media"
pull the plug,"đình chỉ, ngưng làm gì",,"Technological advances, communication and the media"
to make sth tick,khiến điều gì trở nên có kết quả,,"Technological advances, communication and the media"
word,,,
recycle,tái chế,,Wildlife and the environment
reuse,tái sử dụng,,Wildlife and the environment
rubbish,rác bỏ đi (đồ không dùng nữa),,Wildlife and the environment
waste,rác bỏ đi (đồ không dùng nữa),,Wildlife and the environment
garbage,rác thải (nói chung),,Wildlife and the environment
trash,rác thải (nói chung),,Wildlife and the environment
litter,xả rác (mẩu rác nhỏ),,Wildlife and the environment
extinct,tuyệt chủng,,Wildlife and the environment
extinction,sự tuyệt chủng,,Wildlife and the environment
endangered,có nguy cơ tuyệt chủng,,Wildlife and the environment
protect,"bảo vệ, giữ gìn",,Wildlife and the environment
defend,phòng vệ,,Wildlife and the environment
impede,"ngăn chặn, cản trở",prevent,Wildlife and the environment
construct,"xây dựng (= build) (công trình, nhà cửa…)",,Wildlife and the environment
natural disasters,thảm họa thiên nhiên,,Wildlife and the environment
tsunami,sóng thần,,Wildlife and the environment
earthquake,động đất,,Wildlife and the environment
flood,lũ lụt,,Wildlife and the environment
drought,hạn hán,,Wildlife and the environment
tornado,lốc xoáy,,Wildlife and the environment
tornado,bão tố,,Wildlife and the environment
hurricane,bão,,Wildlife and the environment
landslide,lở đất,,Wildlife and the environment
climate change,biến đổi khí hậu,,Wildlife and the environment
global warming,sự nóng lên toàn cầu,,Wildlife and the environment
forecast,dự báo,,Wildlife and the environment
prediction,dự báo,,Wildlife and the environment
mountain,núi,,Wildlife and the environment
hill,đồi,,Wildlife and the environment
plain,đồng bằng,,Wildlife and the environment
ocean,đại dương,,Wildlife and the environment
sea,biển,,Wildlife and the environment
reservoir,hồ nhân tạo,,Wildlife and the environment
pond,ao,,Wildlife and the environment
puddle,vũng nước,,Wildlife and the environment
polluted,bị ô nhiễm,,Wildlife and the environment
contaminate,làm ô nhiễm,,Wildlife and the environment
contaminated,"bị ô nhiễm, bị nhiễm độc",,Wildlife and the environment
naturally,(một cách) tự nhiên,,Wildlife and the environment
phrasal verb,,,Wildlife and the environment
call for,yêu cầu,require,Wildlife and the environment
cut down (on),giảm,reduce,Wildlife and the environment
clear up,trở nên trong xanh,,Wildlife and the environment
stand for,đại diện cho cái gì,,Wildlife and the environment
stand up for,"đấu tranh, bảo vệ điều gì",,Wildlife and the environment
give off,phát ra sự ô nhiễm,,Wildlife and the environment
face up to,đối diện với sự thật,,Wildlife and the environment
die out,"chết hết, tuyệt chủng",,Wildlife and the environment
phrasal,,,Wildlife and the environment
by chance,"tình cờ, ngẫu nhiên",,Wildlife and the environment
by no means,hoàn toàn không,,Wildlife and the environment
on purpose,có chủ đích,,Wildlife and the environment
by accident,tình cờ,,Wildlife and the environment
in no time,rất nhanh,very quickly,Wildlife and the environment
set a fire,châm lửa,,Wildlife and the environment
be aware of,nhận thức điều gì,,Wildlife and the environment
be similar to,"tương tự, giống",,Wildlife and the environment
be worried about,lo lắng về điều gì,,Wildlife and the environment
be famous/ known for,nổi tiếng/ được biết đến bởi,,Wildlife and the environment
the defence of,sự phòng thủ/ chống cự của,,Wildlife and the environment
be considerate of,quan tâm đến,,Wildlife and the environment
take into account,"để ý, lưu tâm đến",,Wildlife and the environment
take care of,chăm sóc ai,,Wildlife and the environment
become extinct,bị tuyệt chủng,,Wildlife and the environment
idioms,,,Wildlife and the environment
rain cats and dogs,mưa lớn,,Wildlife and the environment
be bucketing it down,mưa lớn,,Wildlife and the environment
face the facts,chấp nhận sự thật,,Wildlife and the environment
turn a blind eye,không chú ý đến điều gì,,Wildlife and the environment
word,,,
law,luật pháp,,"Life, crime and society"
rule,"luật lệ, nguyên tắc (của trò chơi, ở trường học, tổ chức,…)",,"Life, crime and society"
regulation,"quy định, quy chế (doanh nghiệp, thị trường, ngành nghề,…)",,"Life, crime and society"
fine,(n) tiền phạt,,"Life, crime and society"
fine,(v) phạt ai (bằng tiền),,"Life, crime and society"
punishment,sự trừng phạt (mang tính nghiêm trọng),,"Life, crime and society"
punish,"phạt, trừng phạt",,"Life, crime and society"
penalty,"hình phạt (do vi phạm luật, hợp đồng, quy tắc,…), áp dụng ở dạng vật chất hoặc được thực hiện/ cấm thực hiện một hành vi nào đó",,"Life, crime and society"
criminal,"(adj) (thuộc) tội phạm, phạm pháp",,"Life, crime and society"
criminal,(n) người phạm tội,,"Life, crime and society"
robber,kẻ cướp (có yếu tố bạo lực),,"Life, crime and society"
thief (số nhiều thieves),"kẻ trộm, kẻ cắp (cắp đồ một cách lén lút, không gây bạo lực)",,"Life, crime and society"
burglar,"kẻ đột nhập (kẻ trộm các công ty, văn phòng, hoạt động vào ban đêm)",,"Life, crime and society"
burgle,"đột nhập, ăn trộm",,"Life, crime and society"
proof,chứng cứ (= evidence),,"Life, crime and society"
prison,"nhà tù, phòng giam (trong khi chờ xét xử/ tuyên án)",,"Life, crime and society"
jail,(n) nhà tù (giam giữ tội phạm đã có bản án),,"Life, crime and society"
jail,(v) bỏ tù,,"Life, crime and society"
arrest,"bắt giữ (vì bị buộc tội, ám chỉ đến việc “bị còng tay”)",,"Life, crime and society"
detain,"giam giữ (vì đánh nhau, gây thương tích nhỏ, chống người thi hành công vụ,…)",,"Life, crime and society"
be charged with sth,bị buộc tội (có bằng chứng xác thực),,"Life, crime and society"
extradite,dẫn độ (chuyển giao phạm nhân từ nước này sang nước khác),,"Life, crime and society"
suspect,nghi ngờ,,"Life, crime and society"
accusation,"sự tố cáo, tố giác",,"Life, crime and society"
interrogate,thẩm vấn,,"Life, crime and society"
prosecute,truy tố,,"Life, crime and society"
escape,"trốn thoát, tẩu thoát (khỏi nhà tù,…)",,"Life, crime and society"
flee,"chạy trốn, chạy thoát (khỏi nguy hiểm)",,"Life, crime and society"
blame,"đổ lỗi, khiển trách",,"Life, crime and society"
bribe,(v) hối lộ,,"Life, crime and society"
bribe,(n) vật hối lộ,,"Life, crime and society"
bribery,"sự hối lộ, sự ăn hối lộ",,"Life, crime and society"
corrupt,(v) tham nhũng,,"Life, crime and society"
corrupt,(adj) thối nát,,"Life, crime and society"
influence,(n) sự ảnh hưởng,,"Life, crime and society"
influence,(v) ảnh hưởng (= have an effect on),,"Life, crime and society"
mistake,lỗi lầm,,"Life, crime and society"
threaten,đe dọa (ám chỉ điều gì đó nguy hiểm),,"Life, crime and society"
threatening,mang tính đe dọa,,"Life, crime and society"
intimidate,đe dọa (điều gì đó khiến bạn không thoải mái),,"Life, crime and society"
frighten,làm hoảng sợ (= make someone afraid),,"Life, crime and society"
steal,"ăn cắp, ăn trộm (dùng cho “thief”)",,"Life, crime and society"
rob,cướp (có yếu tố bạo lực),,"Life, crime and society"
mug,ăn cướp (tấn công ai đó ở nơi công cộng và cướp tiền),,"Life, crime and society"
murder,"vụ án mạng, tội sát nhân",,"Life, crime and society"
murderer,kẻ sát nhân,,"Life, crime and society"
kill,"giết, sát",,"Life, crime and society"
attack,tấn công (có yếu tố bạo lực),,"Life, crime and society"
assault,đột kích,,"Life, crime and society"
hurt,(v) làm hại,,"Life, crime and society"
hurt,(adj) đau về mặt thể xác (= injure),,"Life, crime and society"
cause damage,gây ra thiệt hại,,"Life, crime and society"
harm,(n) sự tổn hại,,"Life, crime and society"
harm,(v) gây hại,,"Life, crime and society"
harmful,có hại,,"Life, crime and society"
grab,"chộp lấy, chiếm",,"Life, crime and society"
phrasal verb,,,"Life, crime and society"
back down,thừa nhận đã sai,,"Life, crime and society"
get away with,thoát khỏi hình phạt gì,,"Life, crime and society"
look into,khảo sát,investigate,"Life, crime and society"
tell on,"tố cáo, cung cấp thông tin về ai đó (vì họ làm gì tồi tệ)",,"Life, crime and society"
get away,trốn thoát,escape,"Life, crime and society"
blow up,nổ tung,,"Life, crime and society"
run away,chạy trốn,flee,"Life, crime and society"
beat up,đánh đập,,"Life, crime and society"
break in,đột nhập vào,,"Life, crime and society"
phrasal,,,"Life, crime and society"
be accused of sth,bị tố cáo vì tội gì (phải ra tòa),,"Life, crime and society"
be charged with sth,bị buộc tội (có bằng chứng xác thực),,"Life, crime and society"
escape from,trốn thoát khỏi cái gì,,"Life, crime and society"
fine for,phạt (tội gì)khoản tiền mặt (cho tội gì),,"Life, crime and society"
the purpose of,mục đích của ai/ cái gì,,"Life, crime and society"
arrest sb for,bắt giữ ai vì bị tội gì nghiêm trọng,,"Life, crime and society"
forgive sb for,tha thứ cho ai vì đã làm gì,,"Life, crime and society"
respect sb for,tôn trọng ai vì điều gì đó,,"Life, crime and society"
be scared/ afraid of,"(bị làm cho) sợ hãi, hoảng sợ bởi điều gì",,"Life, crime and society"
be in doubt,bị nghi ngờ,,"Life, crime and society"
be guilty of,phạm tội gì,,"Life, crime and society"
be innocent of,vô tội,,"Life, crime and society"
against the law,chống phá luật pháp,,"Life, crime and society"
on purpose,có chủ đích,,"Life, crime and society"
safe and sound,"an toàn, bình yên",,"Life, crime and society"
commit a crime,phạm tội,,"Life, crime and society"
commit suicide,tự sát,,"Life, crime and society"
idioms,,,"Life, crime and society"
let the cat out of the bag,vô tình để lộ bí mật,,"Life, crime and society"
smell a rat,nghi ngờ điều gì đó sai lầm hoặc giả dối,,"Life, crime and society"
smell something fishy,cảm thấy có gì đó sai nhưng không biết là gì,,"Life, crime and society"
curiosity killed the cat,tò mò hại thân,,"Life, crime and society"
copycat,bắt chước,,"Life, crime and society"
to walk on air,"suy nghĩ lại, ngẫm lại",,"Life, crime and society"
word,,,
fit,"thích hợp, xứng đáng",suitable,Design & creativity
compliment,"sự tán dương, khen ngợi",,Design & creativity
produce,sản xuất (sản phẩm),,Design & creativity
produce,"dàn dựng (vở kịch, sân khấu,…)",,Design & creativity
production,sự sản xuất,,Design & creativity
production,sự dàn dựng,,Design & creativity
productive,năng suất,,Design & creativity
manufacture,"sản xuất, tạo ra (thủ công hoặc bằng máy)",,Design & creativity
create,tạo nên (= make),,Design & creativity
creativity,tính sáng tạo,,Design & creativity
design,thiết kế,,Design & creativity
costume,trang phục,,Design & creativity
fancy dress,trang phục quyến rũ,,Design & creativity
appearance,bề ngoài,,Design & creativity
distribute,"phân phát, phân tán",,Design & creativity
decision,quyết định,,Design & creativity
attract,thu hút,,Design & creativity
attractive,thu hút,,Design & creativity
supply,cung cấp,,Design & creativity
glimpse,(n) cái nhìn thoáng qua,,Design & creativity
glimpse,(v) liếc qua,,Design & creativity
enthuse,"đam mê, ham thích",,Design & creativity
enthusiastic,nhiệt tình,,Design & creativity
succeed,thành công,,Design & creativity
achieve,đạt được,,Design & creativity
achievement,thành tựu,,Design & creativity
modern,hiện đại,,Design & creativity
traditional,truyền thống,,Design & creativity
new age,thời đại mới,,Design & creativity
seem,"dường như, có vẻ là",,Design & creativity
weird,kỳ lạ,,Design & creativity
(a) weirdo,người kỳ lạ,,Design & creativity
trendy,hợp thời,,Design & creativity
fashionable,hợp mốt,,Design & creativity
useless,vô dụng,,Design & creativity
phrasal verb,,,Design & creativity
lay out,lên kế hoạch,plan,Design & creativity
work out,giải quyết,solve,Design & creativity
dream up,phát minh/ thiết kế/ sáng tạo ra một thứ gì đó trong tưởng tượng,,Design & creativity
set out,"sắp xếp, tổ chứ",organize,Design & creativity
make up,trang điểmbịa đặt,,Design & creativity
stick out of,trở nên khác biệt,,Design & creativity
think over,cân nhắc,consider,Design & creativity
set up,chuẩn bị,prepare,Design & creativity
wear out,"mệt lử, kiệt sức",,Design & creativity
draw up,"hoạch định, chuẩn bị trước",,Design & creativity
dress up,"ăn diện, lên đồ",,Design & creativity
phrasal,,,Design & creativity
prepare for sth,chuẩn bị cho cái gì,,Design & creativity
