word,mean
have an eye for,có khả năng làm gì tốt
be pinching pennies,không có tiền
be on the dole,thất nghiệp (= unemployed)
be in a pickle,gặp rắc rối (= be in trouble)
clock in,ghi giờ đến làm
clock out,ghi giờ tan làm
take off,nghỉ phép
press on,tiếp tục làm việc (= continue working)
run out (of),"hết, không còn"
get together,họp mặt
fit in,có đủ thời gian/ khoảng trống để làm gì đó
hang out (with),dành thời gian (với) (= spend time with)
mess around,phí thời gian làm gì (= waste time doing sth)
as soon as,càng sớm càng
by the time,"vào lúc, vào thời điểm mà"
on/ at the point of,tại thời điểm
take ages,mất thời gian
from time to time,thỉnh thoảng
at this point,"tại thời điểm này, tại giai đoạn này"
no longer,"không kéo dài, không dài lâu"
around the corner,sớm (= soon)
in a flash,rất nhanh (= fast)
in the nick of time,vừa kịp lúc (= just in time)
lose track of time,"mất dấu thời gian, mất nhận thức về thời gian"
take the easy way out,"đi con đường ngắn nhất, giải quyết việc gì bằng cách đơn giản nhất"
go for,chọn (= choose)
eat out,ăn ở nhà hàng (= eat in a restaurant)
put off,làm mất hứng
eat/ drink up,ăn/ uống hết sạch
try out,thử
throw away/ out,vứt vào thùng rác
wash up,rửa bát đĩa
be keen on,"thích, quan tâm đến cái gì"
there is no comparison,không so sánh
to have nothing to do with,không có gì để làm (với ai/ cái gì)
leave sb satisfied,làm ai đó hài lòng
come as a disappointment,gây thất vọng
be on a diet,ăn kiêng
a piece of,một mẩu
a slice of,một lát
a plate of,một đĩa
a pinch of,một nhúm/ bó
a bar of,một thanh
a jar of,một lọ
a carton of,một thùng
a bottle of,một chai
a lack of,thiếu (cái gì đó)
choose between,lựa chọn giữa (2 đối tượng)
wait for,đợi
regard as,coi như là
fill with,làm đầy (với cái gì đó)
be bothered with,bị làm phiền (bởi ai/ cái gì)
take with a pinch of salt,"đừng tin ai quá đà, cẩn trọng"
a piece of cake,dễ như ăn bánh
hard to swallow,"khó chấp nhận, ở trong hoàn cảnh khó khăn"
as easy as pie,dễ ợt
spill the beans,bật mí
pig out,ăn nhiều
feel up (to),cảm thấy đủ khỏe mạnh (để làm gì)
cut down (on),giảm số lượng (của cái gì)
give up,bỏ cuộc (= stop doing)
look after,chăm sóc (= take care of)
put on,tăng cân (= gain weight)
pass out,"ngất đi, mất nhận thức"
work out,tập thể dục (= do exercise)
go down with,trở nên yếu đi
bring sth on,gây ra bệnh gì
warm up,khởi động
swell up,sưng lên
get rid of,"bỏ đi, từ bỏ"
pull through,vượt qua khó khăn
pass away,qua đời
sign up for,"đăng ký tham gia (câu lạc bộ, đội nhóm,..)"
keep in shape,giữ dáng
be hurt/ in pain/ injured,"bị thương, bị đau"
complain of/ about,phàn nàn về cái gì
worry about,lo lắng về điều gì
be tired of,mệt bởi điều gì
be sick of,mệt bởi điều gì
be in danger of,gặp nguy hiểm
suffer from,chịu đựng cái gì
exposure to,tiếp xúc với
be prone to sth,dễ bị (làm sao)
as far as I know,theo như tôi được biết
likely to result in,có khả năng dẫn đến
take care,"bảo trọng, giữ gìn sức khỏe"
as (one) can imagine,như (một người) có thể tưởng tượng
be somewhat (+ adj),"có phần, hơi"
get your heart pumping,hoạt động/ thích thú
push yourself,"nỗ lực, cố gắng, thúc đẩy bản thân (= make an effort)"
risk life and limb,mạo hiểm
feel like sb is made of glass,ai đó dễ bị thương
follow suit,"bắt chước, làm theo ai đó"
bring up,nêu vấn đề
grow up,lớn lên
look up to,ngưỡng mộ
get along with sb,hòa thuận với ai đó
stick to,theo sát (kế hoạch)
chill out,thư giãn (= relax)
get into,bắt đầu thích điều gì
go off,dừng thích điều gì
stay up,thức
fit in with,hòa nhập (với ai)
stand out,nổi bật (= be different)
put up with,chịu đựng (= stand for)
at its height,(ai/ cái gì) đang ở trên đỉnh cao
at that time,vào khoảng thời gian đó
ever since,"kể từ đó, sau đó"
for a long time to come,trong thời gian dài sắp tới
on the outskirts,"ở bên lề, rìa"
get/ be married to,cưới ai
have fun with,vui vẻ với ai
dream of/ about,mơ ước về điều gì
approve of sth,"phê duyệt, chấp thuận điều gì"
be in favour of,ủng hộ điều gì
live in,sống ở
laugh at,cười (bởi điều gì)
talk to sb,nói chuyện với ai
give (sb) a hand,giúp đỡ ai đó
keep an eye on sb,để mắt đến ai đó
have a cat nap,chợp mắt
give the green light,cho phép (= give permission)
be a know it all,làm như thể cái gì cũng biết
build up,xây dựng
find out,"tìm ra, khám phá ra (= discover)"
work on,đang trong tiến trình
work out,"giải quyết, tìm ra giải pháp (= resolve)"
carry out,tiến hành
come up with,"nghĩ ra, nảy ra (một ý tưởng) (= think of)"
plug in,cắm vào (ổ điện)
turn off,tắt nguồn
come off,"thành công, có hiệu quả (= succeed)"
look forward to,mong chờ
catch up with,nói chuyện lại sau một thời gian dài
get up to date,cập nhật (thông tin mới)
in fact,trên thực tế
on average,trung bình
as a result,như một hệ quả
all in all,"tóm lại, nhìn chung"
succeed in,thành công (trong việc gì)
look at,nhìn vào
focus on,tập trung vào
concentrate on,tập trung vào
in an attempt,dùng mọi nỗ lực
a result of,là một hệ quả của
a matter of fact,một vấn đề thực tế
explain sth to sb,giải thích điều gì với ai
be on the internet,trên mạng internet
keep in touch,giữ liên lạc
be reluctant to,miễn cưỡng làm gì
surf the net,lướt mạng
blow a fuse,nổi giận (= get angry)
pull the plug,đình chỉngưng làm gì
to make sth tick,khiến điều gì trở nên có kết quả
call for,yêu cầu (= require)
cut down (on),giảm (= reduce)
clear up,trở nên trong xanh
stand for,đại diện cho cái gì
stand up for,"đấu tranh, bảo vệ điều gì"
give off,phát ra sự ô nhiễm
face up to,đối diện với sự thật
die out,"chết hết, tuyệt chủng"
by chance,"tình cờ, ngẫu nhiên"
by no means,hoàn toàn không
on purpose,có chủ đích
by accident,tình cờ
in no time,rất nhanh (= very quickly)
set a fire,châm lửa
be aware of,nhận thức điều gì
be similar to,"tương tự, giống"
be worried about,lo lắng về điều gì
be famous/ known for,nổi tiếng/ được biết đến bởi
the defence of,sự phòng thủ/ chống cự của
be considerate of,quan tâm đến
take into account,"để ý, lưu tâm đến"
take care of,chăm sóc ai
become extinct,bị tuyệt chủng
rain cats and dogs,mưa lớn
be bucketing it down,mưa lớn
face the facts,chấp nhận sự thật
turn a blind eye,không chú ý đến điều gì
back down,thừa nhận đã sai
get away with,thoát khỏi hình phạt gì
look into,khảo sát (= investigate)
tell on,"tố cáo, cung cấp thông tin về ai đó (vì họ làm gì tồi tệ)"
get away,trốn thoát (= escape)
blow up,nổ tung
run away,chạy trốn (= flee)
beat up,đánh đập
break in,đột nhập vào
be accused of sth,bị tố cáo vì tội gì (phải ra tòa)
be charged with sth,bị buộc tội (có bằng chứng xác thực)
escape from,trốn thoát khỏi cái gì
fine for,phạt (tội gì)khoản tiền mặt (cho tội gì)
the purpose of,mục đích của ai/ cái gì
arrest sb for,bắt giữ ai vì bị tội gì nghiêm trọng
forgive sb for,tha thứ cho ai vì đã làm gì
respect sb for,tôn trọng ai vì điều gì đó
be scared/ afraid of,"(bị làm cho) sợ hãi, hoảng sợ bởi điều gì"
be in doubt,bị nghi ngờ
be guilty of,phạm tội gì
be innocent of,vô tội
against the law,chống phá luật pháp
on purpose,có chủ đích
safe and sound,"an toàn, bình yên"
commit a crime,phạm tội
commit suicide,tự sát
let the cat out of the bag,vô tình để lộ bí mật
smell a rat,nghi ngờ điều gì đó sai lầm hoặc giả dối
smell something fishy,cảm thấy có gì đó sai nhưng không biết là gì
curiosity killed the cat,tò mò hại thân
copycat,bắt chước
to walk on air,"suy nghĩ lại, ngẫm lại"
lay out,lên kế hoạch (= plan)
work out,giải quyết (= solve)
dream up,phát minh/ thiết kế/ sáng tạo ra một thứ gì đó trong tưởng tượng
set out,"sắp xếp, tổ chức (= organize)"
make up,trang điểmbịa đặt
stick out of,trở nên khác biệt
think over,cân nhắc (= consider)
set up,chuẩn bị (= prepare)
wear out,"mệt lử, kiệt sức"
draw up,"hoạch định, chuẩn bị trước"
dress up,"ăn diện, lên đồ"
prepare for sth,chuẩn bị cho cái gì
advice about sth,khuyên về cái gì
succeed in sth,thành công về cái gì
be in fashion,đang thịnh hành
out of fashion,lỗi mốt
look for sth,"tìm kiếm, mong đợi"
supply sb with sth,cung cấp cho ai/ cung cấp cái gì
insist on sth,nhấn mạnh vào điều gì
fit sb well/ badly,phù hợp/ không phù hợp
be similar to,tương tự với
It seems that…,dường như là…
by the time,vào lúc
be dressed to kill,"mặc đẹp, ăn diện"
dress like a tramp,mặc xấu
see through rose-tinted glasses,nhìn đời bằng lăng kính màu hồng
cost an arm and a leg,rất đắt (= very expensive)
have good fashion sense,có gu thời trang
fall out with,cãi nhau với ai
fall for sb,phải lòng ai đó (= fall in love with sb)
get on with,kết bạn (= be friends with)
get along with,hòa thuận
look up to sb,ngưỡng mộ ai đó (= admire)
look down on,coi thường ai
put up with,"chịu đựng, tha thứ"
pick on,trêu chọc ai đó (= make fun of sb)
look after,chăm sóc
go out with,có mối quan hệ nghiêm túc với ai (= be in a relationship)
be happy with sb/ about sth,hạnh phúc với ai đó/ về điều gì đó
be crazy/ mad about,"điên cuồng/ phát điên vì ai đó (cảm giác yêu, nhớ nhung)"
be polite to,cư xử lịch thiệp với ai
agree with,đồng ý với ai
depend/ rely on,dựa vào ai
be married to sb,kết hôn với ai
be angry with sb/ about sth,giận dữ với ai/ về điều gì
have a tolerance for,có khả năng chịu đựng điều gì
be on good terms with,có quan hệ tốt với ai
bear in mind,ghi nhớ
brace yourself,chuẩn bị tinh thần
pull yourself together,bình tĩnh lại
be over the moon,"sung sướng, hạnh phúc"
be on cloud nine,"sung sướng, hạnh phúc"
heads in the clouds,"đầu óc trên mây, mơ mộng, không thực tế"
jump for joy,nhảy lên vì sung sướng (= excited)
be an item,có mối quan hệ lãng mạn
tie the knot,kết hôn (= get married)
have butterflies in your stomach,"lo lắng, bồn chồn (= nervous)"
distribute,"phân phát, phân tán"
decision,quyết định
attract,thu hút
attractive,thu hút
supply,cung cấp
glimpse,(n) cái nhìn thoáng qua
glimpse,(v) liếc qua
enthuse,"đam mê, ham thích"
enthusiastic,nhiệt tình
succeed,thành công
achieve,đạt được
achievement,thành tựu
modern,hiện đại
traditional,truyền thống
new age,thời đại mới
seem,"dường như, có vẻ là"
weird,kỳ lạ
(a) weirdo,người kỳ lạ
trendy,hợp thời
fashionable,hợp mốt
useless,vô dụng
smile,cười tươi (mỉm hoặc hở răng)
frown,"nhăn mặt, cau mày"
cry,khóc
laugh,cười lớn
feel,cảm thấy
argue,cãi vã
argument,trận cãi vã
argumentative,"có lý luận, hay tranh cãi"
fault,lỗi (vì làm sai điều gì)
partner,"bạn đồng hành, người thương"
couple,"cặp đôi, cặp tình nhân"
sibling,anh chị em ruột
relative,họ hàng
colleague,đồng nghiệp
flatmate,bạn cùng phòng
acquaintance,"người quen, sự quen biết"
moody,"ủ rũ, nhiều tâm sự"
sensitively,(một cách) nhạy cảm
sensitivity,tính nhạy cảm
furious,giận dữ (= very angry)
timid,nhút nhát (= shy)
impolite,thô lỗ
politeness,sự lịch thiệp
craziness,sự điên cuồng
marriage,hôn nhân
eagerness,"sự háo hức, say mê"
tolerate,tha thứ
tolerate,chấp nhận
tolerance,sự tha thứ
tolerance,sự chấp nhận
