word,mean
business,"VD: nhà máy (factory), store (cửa hàng), công ty (company)"
enterprise,(1) doanh nghiệp (dùng khi muốn nhấn mạnh đó là doanh nghiệp nhà nước hay tư nhân)
enterprise,(2) tinh thần khởi nghiệp
start-up,các công ty khởi nghiệp
over time,tăng ca
duty,trách nhiệm
pension,lương hưu
promotion,sự thăng tiến
reliance,sự nhờ cậy
discount,sự giảm giá
reduced price,hạ giá
low-cost,giá thấp
a bargain,(n) sự mặc cả
a bargain,(v) mặc cả
receipt,hóa đơn (sau khi thanh toán)
bill,hóa đơn (trước khi thanh toán)
label,nhãn
price-tag,nhãn giá
brand,thương hiệu
cash,tiền mặt
credit card,thẻ tín dụng
cheques,séc (một chứng từ có thể ra lệnh cho ngân hàng trích tiền từ tài khoản để thanh toán)
refund,khoản tiền hoàn trả
refund,hoàn tiền
owe money,nợ tiền
change,"tiền trả lại, tiền thừa"
lend,"cho mượn, cho vay"
borrow,"mượn, vay"
purchase,mua (= buy)
sell,bán
make a profit,tạo ra lợi nhuận
stuff,đồ đạc
possessions,của cải
shopping centre,trung tâm mua sắm
department store,cửa hàng bách hóa
typical,"tiêu biểu, đặc trưng"
interchange,sự trao đổi
spend (time),dành thời gian
take (time),mất thời gian
kill (time),giết thời gian
schedule,"(n) kế hoạch, lịch trình"
schedule,(v) lên kế hoạch
persuade,thuyết phục
fortnight,hai tuần
sunrise,bình minh
sunset,hoàng hôn
noon,buổi trưa
midnight,nửa đêm
punctual,đúng giờ
premature,"sớm, trước"
pressure,áp lực
wasteful,phí phạm
clockwise,theo chiều kim đồng hồ
messy,"bề bộn, lộn xộn"
timeless,vô tận
fussy,cầu kỳ
picky,kén ăn
sip,"(v) uống từng ngụm, nhâm nhi"
sip,"(n) ngụm, hớp"
try (food),nếm thử (đồ ăn)
swallow,nuốt
cook,(n) đầu bếp
cook,(v) nấu ăn
bake,"nướng, nung"
boil,luộc
microwave,(n) lò vi sóng
microwave,(v) hâm nóng bằng lò
prepare,"chuẩn bị, sơ chế"
fry,"chiên, rán"
steam,hấp
chop,(n) miếng thịt sườn
chop,(v) chặt nhỏ
cut,cắt (thành từng mảnh)
slice,"(n) miếng mỏng, lát mỏng"
slice,(v) thái lát
mince,(n) thịt băm
mince,(v) băm nhỏ
oven,lò nướng
grill,vỉ nướngđồ nướng
mix,trộn
stir,"khuấy, xào"
whisk,"đánh kem, khuấy kem"
beat,"đánh tơi, khuấy"
blend,(n) hỗn hợp
blend,(v) trộn lẫn nhau
kettle,ấm đun nước
tea pot,ấm trà
dine,ăn tối
consume,ăn uống (nói chung)
cuisine,ẩm thực
dish,(1) món ăn
dish,"(2) cái đĩa (có phần đũng sâu, đựng món ăn có nước sốt)"
satisfy,làm hài lòngđáp ứng
disappoint,thất vọng
endorse,"tán thành, đồng ý"
vegetarian,người ăn chay
chef,bếp trưởng
freezer,"tủ lạnh, tủ đông"
container,"vật đựng (chai, lọ,…)"
preference,sự thích hơn
recommendation,"sự giới thiệu, gợi ý"
injure,bị thương
damage,bị thương
dislocate,trật khớp
healthy,khỏe mạnh
sore,"đau, nhức nhối"
hurt,"đau, nhức nhối"
painful,"đau, nhức nhối"
antibiotics,thuốc kháng sinh
medicine,thuốc (nói chung)
pill,viên thuốc
tablet,viên thuốc
vaccines,vắc-xin
illness,"bệnh tật, sự đau ốm"
disease,"bệnh tật, sự đau ốm"
exhaustion,"sự mệt mỏi, kiệt sức"
tiredness,"sự mệt mỏi, kiệt sức"
contagious,"truyền nhiễm, dễ lây lan"
catchy,"truyền nhiễm, dễ lây lan"
cure,chữa
recover,hồi phục
get over,vượt qua (bệnh tật)
vomit,nôn mửa
puke,nôn mửa
train,tập luyệntập thể dục
exercise,tập luyệntập thể dục
practice,tập luyệntập thể dục
workout,tập luyệntập thể dục
faint,(adj) yếu ớt
faint,(v) ngất xỉu
"break (a bone, a leg)","gãy (xương, chân…)"
bruise,(n) vết bầm
bruise,(v) làm thâm tím
scrape,(n) vết xước
scrape,(v) làm xước
scratch,(v) làm xước
ligaments,dây chằng
tendons,gân
muscles,cơ bắp
awareness,sự nhận thức
suffering,"cảm giác đau khổ, đau đớn"
swelling,vết sưng tấy
meet (people),gặp gỡ (mọi người)
know (people),gặp gỡ (mọi người)
support,"hỗ trợ, ủng hộ"
assist,"hỗ trợ, ủng hộ"
inhabit,cư trú
reside,cư trú
inhabitant,cư dân
residential,(thuộc) dân cư/ nơi ở
resident,người dân
chat,trò chuyện
chat,nói chuyện phiếm
gossip,nói chuyện phiếm
boast,(v) khoe khoang
boast,(n) sự khoe khoang
imitate,noi gương bắt chước
sociable,chan hòa
talkative,nói nhiều
chatty,thích nói chuyện phiếm
outgoing,"cởi mở, thân thiện (= friendly)"
forbid,cấm (= ban)
permit,cho phép
solitary,đơn độc
solitary,thích ở một mình
envious,"ghen tị, thèm muốn (= jealous)"
lively,sống động
stressed,căng thẳng
personality,tính cách
relationship,mối quan hệ
argumentative,có lý lẽ
willing,sẵn sàng
residence,"khu dân cư, nhà, dinh thự"
repair,sửa chữa
fix,sửa chữa
mend,sửa chữa
progress,(n) sự tiến bộ
progress,(v) tiến bộ
progression,tiến triển
investigate,khảo sát
research,(n) cuộc nghiên cứu
research,(v) nghiên cứu
investigation,cuộc khảo sát
occur,xảy ra
occurrence,"sự xảy ra, sự kiện"
aim,(n) mục tiêu
aim,"(v) nhắm vào, tập trung vào (= focus)"
objective,(n) mục tiêu
objective,(adj) khách quan
method,phương pháp
reason,nguyên do
cause,nguyên do
certain,chắc chắn
expect,"mong đợi, kỳ vọng"
expectation,sự kỳ vọng
intend (+ to V),có ý định (làm gì)
intention,ý định
attempt,(n) sự nỗ lực(v) nỗ lực (= try)
test,thử nghiệm
consider,cân nhắc
reckon,"cho là, nghĩ là (= think)"
observe,"quan sát, sát sao"
observation,sự quan sát
management,sự quản lý
achieve,đạt được
securely,(một cách) chắc chắn
calculate,tính toán
calculation,sự tính toán
develop,phát triển
recycle,tái chế
reuse,tái sử dụng
rubbish,rác bỏ đi (đồ không dùng nữa)
waste,rác bỏ đi (đồ không dùng nữa)
garbage,rác thải (nói chung)
trash,rác thải (nói chung)
litter,xả rác (mẩu rác nhỏ)
extinct,tuyệt chủng
extinction,sự tuyệt chủng
endangered,có nguy cơ tuyệt chủng
protect,"bảo vệ, giữ gìn"
defend,phòng vệ
impede,"ngăn chặn, cản trở (= prevent)"
construct,"xây dựng (= build) (công trình, nhà cửa…)"
natural disasters,thảm họa thiên nhiên
tsunami,sóng thần
earthquake,động đất
flood,lũ lụt
drought,hạn hán
tornado,lốc xoáy
tornado,bão tố
hurricane,bão
landslide,lở đất
climate change,biến đổi khí hậu
global warming,sự nóng lên toàn cầu
forecast,dự báo
prediction,dự báo
mountain,núi
hill,đồi
plain,đồng bằng
ocean,đại dương
sea,biển
reservoir,hồ nhân tạo
pond,ao
puddle,vũng nước
polluted,bị ô nhiễm
contaminate,làm ô nhiễm
contaminated,"bị ô nhiễm, bị nhiễm độc"
naturally,(một cách) tự nhiên
law,luật pháp
rule,"luật lệ, nguyên tắc (của trò chơi, ở trường học, tổ chức,…)"
regulation,"quy định, quy chế (doanh nghiệp, thị trường, ngành nghề,…)"
fine,(n) tiền phạt
fine,(v) phạt ai (bằng tiền)
punishment,sự trừng phạt (mang tính nghiêm trọng)
punish,"phạt, trừng phạt"
penalty,"hình phạt (do vi phạm luật, hợp đồng, quy tắc,…), áp dụng ở dạng vật chất hoặc được thực hiện/ cấm thực hiện một hành vi nào đó"
criminal,"(adj) (thuộc) tội phạm, phạm pháp"
criminal,(n) người phạm tội
robber,kẻ cướp (có yếu tố bạo lực)
thief (số nhiều thieves),"kẻ trộm, kẻ cắp (cắp đồ một cách lén lút, không gây bạo lực)"
burglar,"kẻ đột nhập (kẻ trộm các công ty, văn phòng, hoạt động vào ban đêm)"
burgle,"đột nhập, ăn trộm"
proof,chứng cứ (= evidence)
prison,"nhà tù, phòng giam (trong khi chờ xét xử/ tuyên án)"
jail,(n) nhà tù (giam giữ tội phạm đã có bản án)
jail,(v) bỏ tù
arrest,"bắt giữ (vì bị buộc tội, ám chỉ đến việc “bị còng tay”)"
detain,"giam giữ (vì đánh nhau, gây thương tích nhỏ, chống người thi hành công vụ,…)"
be charged with sth,bị buộc tội (có bằng chứng xác thực)
extradite,dẫn độ (chuyển giao phạm nhân từ nước này sang nước khác)
suspect,nghi ngờ
accusation,"sự tố cáo, tố giác"
interrogate,thẩm vấn
prosecute,truy tố
escape,"trốn thoát, tẩu thoát (khỏi nhà tù,…)"
flee,"chạy trốn, chạy thoát (khỏi nguy hiểm)"
blame,"đổ lỗi, khiển trách"
bribe,(v) hối lộ
bribe,(n) vật hối lộ
bribery,"sự hối lộ, sự ăn hối lộ"
corrupt,(v) tham nhũng
corrupt,(adj) thối nát
influence,(n) sự ảnh hưởng
influence,(v) ảnh hưởng (= have an effect on)
mistake,lỗi lầm
threaten,đe dọa (ám chỉ điều gì đó nguy hiểm)
threatening,mang tính đe dọa
intimidate,đe dọa (điều gì đó khiến bạn không thoải mái)
frighten,làm hoảng sợ (= make someone afraid)
steal,"ăn cắp, ăn trộm (dùng cho “thief”)"
rob,cướp (có yếu tố bạo lực)
mug,ăn cướp (tấn công ai đó ở nơi công cộng và cướp tiền)
murder,"vụ án mạng, tội sát nhân"
murderer,kẻ sát nhân
kill,"giết, sát"
attack,tấn công (có yếu tố bạo lực)
assault,đột kích
hurt,(v) làm hại
hurt,(adj) đau về mặt thể xác (= injure)
cause damage,gây ra thiệt hại
harm,(n) sự tổn hại
harm,(= damage)
harm,(v) gây hại
harmful,có hại
grab,"chộp lấy, chiếm"
fit,"thích hợp, xứng đáng (= suitable)"
compliment,"sự tán dương, khen ngợi"
produce,sản xuất (sản phẩm)
produce,"dàn dựng (vở kịch, sân khấu,…)"
production,sự sản xuất
production,sự dàn dựng
productive,năng suất
manufacture,"sản xuất, tạo ra (thủ công hoặc bằng máy)"
create,tạo nên (= make)
creativity,tính sáng tạo
design,thiết kế
costume,trang phục
fancy dress,trang phục quyến rũ
appearance,bề ngoài
distribute,"phân phát, phân tán"
decision,quyết định
attract,thu hút
attractive,thu hút
supply,cung cấp
glimpse,(n) cái nhìn thoáng qua
glimpse,(v) liếc qua
enthuse,"đam mê, ham thích"
enthusiastic,nhiệt tình
succeed,thành công
achieve,đạt được
achievement,thành tựu
modern,hiện đại
traditional,truyền thống
new age,thời đại mới
seem,"dường như, có vẻ là"
weird,kỳ lạ
(a) weirdo,người kỳ lạ
trendy,hợp thời
fashionable,hợp mốt
useless,vô dụng
smile,cười tươi (mỉm hoặc hở răng)
frown,"nhăn mặt, cau mày"
cry,khóc
laugh,cười lớn
feel,cảm thấy
argue,cãi vã
argument,trận cãi vã
argumentative,"có lý luận, hay tranh cãi"
fault,lỗi (vì làm sai điều gì)
partner,"bạn đồng hành, người thương"
couple,"cặp đôi, cặp tình nhân"
sibling,anh chị em ruột
relative,họ hàng
colleague,đồng nghiệp
flatmate,bạn cùng phòng
acquaintance,"người quen, sự quen biết"
moody,"ủ rũ, nhiều tâm sự"
sensitively,(một cách) nhạy cảm
sensitivity,tính nhạy cảm
furious,giận dữ (= very angry)
timid,nhút nhát (= shy)
impolite,thô lỗ
politeness,sự lịch thiệp
craziness,sự điên cuồng
marriage,hôn nhân
eagerness,"sự háo hức, say mê"
tolerate,tha thứ
tolerate,chấp nhận
tolerance,sự tha thứ
tolerance,sự chấp nhận
